"nombre","has_projectTotal","bioma","year","has_perdida","has_perdida_cum","has_bosque","has_no_bosque"
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2006",0,2.00122177977296,21.3976790298802,7.85094698218625
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2007",0,2.00122177977296,21.3976790298802,7.85094698218625
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2008",0,2.00122177977296,21.3976790298802,7.85094698218625
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2009",0.0769700684528063,2.07819184822577,21.3207089614274,7.92791705063905
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2010",0,2.07819184822577,21.3207089614274,7.92791705063905
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2011",0.307880273811225,2.386072122037,21.0128286876161,8.23579732445028
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2012",0,2.386072122037,21.0128286876161,8.23579732445028
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2013",0,2.386072122037,21.0128286876161,8.23579732445028
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2014",0,2.386072122037,21.0128286876161,8.23579732445028
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2015",0,2.386072122037,21.0128286876161,8.23579732445028
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2016",0,2.386072122037,21.0128286876161,8.23579732445028
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2017",0,2.386072122037,21.0128286876161,8.23579732445028
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2018",0,2.386072122037,21.0128286876161,8.23579732445028
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2019",0,2.386072122037,21.0128286876161,8.23579732445028
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2020",0,2.386072122037,21.0128286876161,8.23579732445028
"Consejo Comunitario Las Brisas (La Betulia)",29.2486260120664,"Andean","x2021",0,2.386072122037,21.0128286876161,8.23579732445028
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2000",NA,NA,8.92710095166283,110.35743762659
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2001",0.0769577668246795,0.0769577668246795,8.85014318483815,110.434395393415
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2002",0,0.0769577668246795,8.85014318483815,110.434395393415
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2003",0,0.0769577668246795,8.85014318483815,110.434395393415
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2004",0,0.0769577668246795,8.85014318483815,110.434395393415
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2005",0,0.0769577668246795,8.85014318483815,110.434395393415
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2006",0,0.0769577668246795,8.85014318483815,110.434395393415
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2007",0,0.0769577668246795,8.85014318483815,110.434395393415
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2008",0.0769577668246795,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2009",0,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2010",0,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2011",0,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2012",0,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2013",0,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2014",0,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2015",0,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2016",0,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2017",0,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2018",0,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2019",0,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2020",0,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Rio Palo",119.284538578253,"Andean","x2021",0,0.153915533649359,8.77318541801347,110.51135316024
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2000",NA,NA,29.0225805873703,7.14047617625777
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2001",0,0,29.0225805873703,7.14047617625777
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2002",0,0,29.0225805873703,7.14047617625777
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2003",0,0,29.0225805873703,7.14047617625777
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2004",0,0,29.0225805873703,7.14047617625777
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2005",0,0,29.0225805873703,7.14047617625777
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2006",0,0,29.0225805873703,7.14047617625777
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2007",0,0,29.0225805873703,7.14047617625777
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2008",1.61236558818724,1.61236558818724,27.410214999183,8.752841764445
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2009",0,1.61236558818724,27.410214999183,8.752841764445
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2010",0,1.61236558818724,27.410214999183,8.752841764445
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2011",0,1.61236558818724,27.410214999183,8.752841764445
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2012",0.0767793137232018,1.68914490191044,27.3334356854598,8.8296210781682
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2013",0,1.68914490191044,27.3334356854598,8.8296210781682
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2014",0,1.68914490191044,27.3334356854598,8.8296210781682
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2015",0,1.68914490191044,27.3334356854598,8.8296210781682
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2016",0,1.68914490191044,27.3334356854598,8.8296210781682
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2017",0,1.68914490191044,27.3334356854598,8.8296210781682
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2018",0,1.68914490191044,27.3334356854598,8.8296210781682
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2019",0,1.68914490191044,27.3334356854598,8.8296210781682
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2020",0,1.68914490191044,27.3334356854598,8.8296210781682
"Consejo Comunitario Afroitaibe Cocoitaibe",36.163056763628,"Andean","x2021",0,1.68914490191044,27.3334356854598,8.8296210781682
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2000",NA,NA,189.639731649329,386.380340511412
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2001",1.69803585522394,1.69803585522394,187.941695794105,388.078376366636
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2002",0,1.69803585522394,187.941695794105,388.078376366636
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2003",0,1.69803585522394,187.941695794105,388.078376366636
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2004",0.0771834479647248,1.77521930318867,187.86451234614,388.155559814601
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2005",0,1.77521930318867,187.86451234614,388.155559814601
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2006",0.231550343894174,2.00676964708284,187.632962002246,388.387110158495
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2007",0,2.00676964708284,187.632962002246,388.387110158495
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2008",0,2.00676964708284,187.632962002246,388.387110158495
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2009",2.08395309504757,4.09072274213041,185.549008907198,390.471063253543
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2010",0.0771834479647248,4.16790619009514,185.471825459234,390.548246701507
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2011",0,4.16790619009514,185.471825459234,390.548246701507
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2012",1.31211861540032,5.48002480549546,184.159706843833,391.860365316908
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2013",0,5.48002480549546,184.159706843833,391.860365316908
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2014",0.385917239823624,5.86594204531908,183.77378960401,392.246282556731
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2015",0,5.86594204531908,183.77378960401,392.246282556731
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2016",0,5.86594204531908,183.77378960401,392.246282556731
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2017",0,5.86594204531908,183.77378960401,392.246282556731
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2018",0,5.86594204531908,183.77378960401,392.246282556731
"Consejo Comunitario El Saman",576.020072160741,"Andean","x2019",0,5.86594204531908,183.77378960401,392.246282556731
