"project","run","auc"
"bc-y-bm_Pacific","run_21",0.961538461538462
"bc-y-bm_Pacific","run_22",1
"bc-y-bm_Pacific","run_23",0.947368421052632
"bc-y-bm_Pacific","run_24",0.961538461538462
"bc-y-bm_Pacific","run_25",0.9
"bc-y-bm_Pacific","run_26",0.982142857142857
"bc-y-bm_Pacific","run_27",0.854341736694678
"bc-y-bm_Pacific","run_28",1
"bc-y-bm_Pacific","run_29",0.857142857142857
"bc-y-bm_Pacific","run_30",0.972222222222222
"bc-y-bm_Pacific","run_31",1
"bc-y-bm_Pacific","run_32",0.833333333333333
"bc-y-bm_Pacific","run_33",0.875
"bc-y-bm_Pacific","run_34",1
"bc-y-bm_Pacific","run_35",0.958333333333333
"bc-y-bm_Pacific","run_36",0.888888888888889
"bc-y-bm_Pacific","run_37",1
"bc-y-bm_Pacific","run_38",1
"bc-y-bm_Pacific","run_39",0.85
"bc-y-bm_Pacific","run_40",0.96875
"bc-y-bm_Pacific","run_41",0.892543859649123
"bc-y-bm_Pacific","run_42",0.978260869565217
"bc-y-bm_Pacific","run_43",0.842105263157895
"bc-y-bm_Pacific","run_44",0.973684210526316
"bc-y-bm_Pacific","run_45",0.861111111111111
"bc-y-bm_Pacific","run_46",0.888888888888889
"bc-y-bm_Pacific","run_47",0.888888888888889
"bc-y-bm_Pacific","run_48",0.909090909090909
"bc-y-bm_Pacific","run_49",0.884615384615385
"bc-y-bm_Pacific","run_50",0.928571428571429
"cajambre_Pacific","run_1",0.958333333333333
"cajambre_Pacific","run_2",0.9
"cajambre_Pacific","run_3",1
"cajambre_Pacific","run_4",0.923076923076923
"cajambre_Pacific","run_5",0.857142857142857
"cajambre_Pacific","run_6",0.925
"cajambre_Pacific","run_7",0.970588235294118
"cajambre_Pacific","run_8",0.84375
"cajambre_Pacific","run_9",0.9
"cajambre_Pacific","run_10",0.973684210526316
"cajambre_Pacific","run_11",1
"cajambre_Pacific","run_12",0.923076923076923
"cajambre_Pacific","run_13",1
"cajambre_Pacific","run_14",1
"cajambre_Pacific","run_15",0.928571428571429
"cajambre_Pacific","run_16",1
"cajambre_Pacific","run_17",1
"cajambre_Pacific","run_18",0.921052631578947
"cajambre_Pacific","run_19",0.884615384615385
"cajambre_Pacific","run_20",0.966666666666667
"cajambre_Pacific","run_21",1
"cajambre_Pacific","run_22",1
"cajambre_Pacific","run_23",0.9375
"cajambre_Pacific","run_24",0.837662337662338
"cajambre_Pacific","run_25",1
"cajambre_Pacific","run_26",0.867063492063492
"cajambre_Pacific","run_27",0.818181818181818
"cajambre_Pacific","run_28",0.766666666666667
"cajambre_Pacific","run_29",0.833333333333333
"cajambre_Pacific","run_30",0.785714285714286
"cajambre_Pacific","run_31",1
"cajambre_Pacific","run_32",1
"cajambre_Pacific","run_33",0.916666666666667
"cajambre_Pacific","run_34",1
"cajambre_Pacific","run_35",0.874074074074074
"cajambre_Pacific","run_36",1
"cajambre_Pacific","run_37",0.9375
"cajambre_Pacific","run_38",1
"cajambre_Pacific","run_39",0.975
"cajambre_Pacific","run_40",0.947368421052632
"cajambre_Pacific","run_41",1
"cajambre_Pacific","run_42",1
"cajambre_Pacific","run_43",0.857142857142857
"cajambre_Pacific","run_44",0.928921568627451
"cajambre_Pacific","run_45",1
"cajambre_Pacific","run_46",0.897435897435897
"cajambre_Pacific","run_47",0.933333333333333
"cajambre_Pacific","run_48",1
"cajambre_Pacific","run_49",1
"cajambre_Pacific","run_50",0.958333333333333
"carmen-darien_Pacific","run_1",1
"carmen-darien_Pacific","run_2",0.921875
"carmen-darien_Pacific","run_3",0.942307692307692
"carmen-darien_Pacific","run_4",0.95
"carmen-darien_Pacific","run_5",0.9375
"carmen-darien_Pacific","run_6",0.939149560117302
"carmen-darien_Pacific","run_7",0.951612903225806
"carmen-darien_Pacific","run_8",0.852434077079108
"carmen-darien_Pacific","run_9",0.897058823529412
"carmen-darien_Pacific","run_10",0.969947735191638
"carmen-darien_Pacific","run_11",0.926470588235294
"carmen-darien_Pacific","run_12",0.962962962962963
"carmen-darien_Pacific","run_13",0.883333333333333
"carmen-darien_Pacific","run_14",0.9
"carmen-darien_Pacific","run_15",0.93921568627451
"carmen-darien_Pacific","run_16",0.916666666666667
"carmen-darien_Pacific","run_17",0.915540540540541
"carmen-darien_Pacific","run_18",0.947285601888277
"carmen-darien_Pacific","run_19",0.875
"carmen-darien_Pacific","run_20",0.958333333333333
"carmen-darien_Pacific","run_21",0.911764705882353
"carmen-darien_Pacific","run_22",0.810931899641577
"carmen-darien_Pacific","run_23",0.931034482758621
"carmen-darien_Pacific","run_24",0.871428571428571
"carmen-darien_Pacific","run_25",0.935483870967742
"carmen-darien_Pacific","run_26",0.919354838709677
"carmen-darien_Pacific","run_27",0.965144230769231
"carmen-darien_Pacific","run_28",0.95
"carmen-darien_Pacific","run_29",0.913793103448276
"carmen-darien_Pacific","run_30",0.884615384615385
"carmen-darien_Pacific","run_31",0.945945945945946
"carmen-darien_Pacific","run_32",0.902777777777778
"carmen-darien_Pacific","run_33",0.925925925925926
"carmen-darien_Pacific","run_34",0.961538461538462
"carmen-darien_Pacific","run_35",0.780933062880325
"carmen-darien_Pacific","run_36",0.951612903225806
"carmen-darien_Pacific","run_37",0.921856639247944
"carmen-darien_Pacific","run_38",0.862068965517241
"carmen-darien_Pacific","run_39",0.85
"carmen-darien_Pacific","run_40",0.947690217391304
"carmen-darien_Pacific","run_41",0.897167487684729
"carmen-darien_Pacific","run_42",0.865800865800866
